position,factoid_type,factoid_text,tags
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 3-star prospects saw an average elite rate (>=80) of 1.7%, which is 19.4% lower than the position average.",3-star|edge|elite|ge_80|star_threshold|threshold
EDGE,star_threshold,"[EDGE] Insight: EDGE recruits who were 2-star prospects saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",2-star|edge|elite|ge_80|star_threshold|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from GA saw an average multi-year starter rate (>=50) of 50.6%, which is 24.8% higher than the position average.",edge|ga|ge_50|multi-year_starter|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from AL saw an average contributor rate (>=20) of 82.4%, which is 19.3% higher than the position average.",al|contributor|edge|ge_20|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from GA saw an average career success score of 43.03, which is 17.5% higher than the position average.",edge|ga|state|state_analysis
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from GA saw an average contributor rate (>=20) of 79.8%, which is 15.5% higher than the position average.",contributor|edge|ga|ge_20|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from CA saw an average multi-year starter rate (>=50) of 32.6%, which is 19.6% lower than the position average.",ca|edge|ge_50|multi-year_starter|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from GA saw an average elite rate (>=80) of 1.1%, which is 45.3% lower than the position average.",edge|elite|ga|ge_80|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from TX saw an average elite rate (>=80) of 0.9%, which is 58.1% lower than the position average.",edge|elite|ge_80|state|state_analysis|threshold|tx
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from NC saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",edge|elite|ge_80|nc|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from OH saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",edge|elite|ge_80|oh|state|state_analysis|threshold
EDGE,state_analysis,"[EDGE] Insight: EDGE recruits who were from AL saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",al|edge|elite|ge_80|state|state_analysis|threshold
IDL,biometric_threshold,"[IDL] Insight: IDL recruits who were above weight_lbs 300 saw an average elite rate (>=80) of 2.1%, which is 87.1% higher than the position average.",300|above|biometric_threshold|elite|ge_80|idl|threshold|weight_lbs
IDL,biometric_threshold,"[IDL] Insight: IDL recruits who were above height_inches 75 saw an average elite rate (>=80) of 1.8%, which is 58.1% higher than the position average.",75|above|biometric_threshold|elite|ge_80|height_inches|idl|threshold
IDL,biometric_threshold,"[IDL] Insight: IDL recruits who were above weight_lbs 300 saw an average multi-year starter rate (>=50) of 55.9%, which is 25.2% higher than the position average.",300|above|biometric_threshold|ge_50|idl|multi-year_starter|threshold|weight_lbs
IDL,biometric_threshold,"[IDL] Insight: IDL recruits who were at or below weight_lbs 300 saw an average elite rate (>=80) of 1.0%, which is 15.6% lower than the position average.",300|at_or_below|biometric_threshold|elite|ge_80|idl|threshold|weight_lbs
IDL,biometric_threshold,"[IDL] Insight: IDL recruits who were at or below height_inches 75 saw an average elite rate (>=80) of 0.8%, which is 32.8% lower than the position average.",75|at_or_below|biometric_threshold|elite|ge_80|height_inches|idl|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Hand Quickness ratings of 9 or 10 saw an average elite rate (>=80) of 4.5%, which is 298.3% higher than the position average.",elite|ge_80|idl|rating_9_or_10|skill_hand_quickness|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Athleticism ratings of 9 or 10 saw an average elite rate (>=80) of 3.6%, which is 217.8% higher than the position average.",elite|ge_80|idl|rating_9_or_10|skill_athleticism|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Size ratings of 9 or 10 saw an average elite rate (>=80) of 3.1%, which is 172.7% higher than the position average.",elite|ge_80|idl|rating_9_or_10|skill_influence|skill_size|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Hand Quickness ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 74.7%, which is 67.4% higher than the position average.",ge_50|idl|multi-year_starter|rating_9_or_10|skill_hand_quickness|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Athleticism ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 74.1%, which is 66.1% higher than the position average.",ge_50|idl|multi-year_starter|rating_9_or_10|skill_athleticism|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Size ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 68.1%, which is 52.6% higher than the position average.",ge_50|idl|multi-year_starter|rating_9_or_10|skill_influence|skill_size|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Hand Quickness ratings of 9 or 10 saw an average career success score of 54.50, which is 41.1% higher than the position average.",idl|rating_9_or_10|skill_hand_quickness|skill_influence
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Athleticism ratings of 9 or 10 saw an average career success score of 53.99, which is 39.8% higher than the position average.",idl|rating_9_or_10|skill_athleticism|skill_influence
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Size ratings of 9 or 10 saw an average career success score of 50.68, which is 31.2% higher than the position average.",idl|rating_9_or_10|skill_influence|skill_size
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Athleticism ratings of 9 or 10 saw an average contributor rate (>=20) of 92.2%, which is 24.9% higher than the position average.",contributor|ge_20|idl|rating_9_or_10|skill_athleticism|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Hand Quickness ratings of 9 or 10 saw an average contributor rate (>=20) of 91.6%, which is 24.0% higher than the position average.",contributor|ge_20|idl|rating_9_or_10|skill_hand_quickness|skill_influence|threshold
IDL,skill_influence,"[IDL] Insight: IDL recruits who had skill_Size ratings of 9 or 10 saw an average contributor rate (>=20) of 87.9%, which is 19.1% higher than the position average.",contributor|ge_20|idl|rating_9_or_10|skill_influence|skill_size|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 5-star prospects saw an average elite rate (>=80) of 14.9%, which is 1205.0% higher than the position average.",5-star|elite|ge_80|idl|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 5-star prospects saw an average multi-year starter rate (>=50) of 91.5%, which is 105.0% higher than the position average.",5-star|ge_50|idl|multi-year_starter|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 4-star prospects saw an average elite rate (>=80) of 2.1%, which is 81.5% higher than the position average.",4-star|elite|ge_80|idl|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 5-star prospects saw an average career success score of 65.97, which is 70.7% higher than the position average.",5-star|idl|star_threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 5-star prospects saw an average contributor rate (>=20) of 100.0%, which is 35.4% higher than the position average.",5-star|contributor|ge_20|idl|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 4-star prospects saw an average multi-year starter rate (>=50) of 58.0%, which is 30.0% higher than the position average.",4-star|ge_50|idl|multi-year_starter|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 4-star prospects saw an average career success score of 46.42, which is 20.1% higher than the position average.",4-star|idl|star_threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 4-star prospects saw an average contributor rate (>=20) of 85.8%, which is 16.2% higher than the position average.",4-star|contributor|ge_20|idl|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 3-star prospects saw an average elite rate (>=80) of 0.6%, which is 50.4% lower than the position average.",3-star|elite|ge_80|idl|star_threshold|threshold
IDL,star_threshold,"[IDL] Insight: IDL recruits who were 2-star prospects saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",2-star|elite|ge_80|idl|star_threshold|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from IL saw an average elite rate (>=80) of 1.8%, which is 56.5% higher than the position average.",elite|ge_80|idl|il|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from CA saw an average elite rate (>=80) of 1.7%, which is 47.3% higher than the position average.",ca|elite|ge_80|idl|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from NC saw an average multi-year starter rate (>=50) of 65.6%, which is 47.0% higher than the position average.",ge_50|idl|multi-year_starter|nc|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from NC saw an average elite rate (>=80) of 1.6%, which is 43.6% higher than the position average.",elite|ge_80|idl|nc|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from TX saw an average elite rate (>=80) of 1.6%, which is 40.2% higher than the position average.",elite|ge_80|idl|state|state_analysis|threshold|tx
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from FL saw an average elite rate (>=80) of 1.5%, which is 34.1% higher than the position average.",elite|fl|ge_80|idl|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from NC saw an average career success score of 47.83, which is 23.8% higher than the position average.",idl|nc|state|state_analysis
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from MS saw an average multi-year starter rate (>=50) of 54.0%, which is 21.0% higher than the position average.",ge_50|idl|ms|multi-year_starter|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from GA saw an average multi-year starter rate (>=50) of 37.6%, which is 15.6% lower than the position average.",ga|ge_50|idl|multi-year_starter|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from OH saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",elite|ge_80|idl|oh|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from MI saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",elite|ge_80|idl|mi|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from MS saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",elite|ge_80|idl|ms|state|state_analysis|threshold
IDL,state_analysis,"[IDL] Insight: IDL recruits who were from MD saw an average elite rate (>=80) of 0.0%, which is 100.0% lower than the position average.",elite|ge_80|idl|md|state|state_analysis|threshold
LB,biometric_threshold,"[LB] Insight: LB recruits who were above weight_lbs 230 saw an average elite rate (>=80) of 3.1%, which is 114.0% higher than the position average.",230|above|biometric_threshold|elite|ge_80|lb|threshold|weight_lbs
LB,biometric_threshold,"[LB] Insight: LB recruits who were above weight_lbs 230 saw an average multi-year starter rate (>=50) of 59.4%, which is 24.5% higher than the position average.",230|above|biometric_threshold|ge_50|lb|multi-year_starter|threshold|weight_lbs
LB,biometric_threshold,"[LB] Insight: LB recruits who were at or below height_inches 73 saw an average elite rate (>=80) of 1.2%, which is 15.3% lower than the position average.",73|at_or_below|biometric_threshold|elite|ge_80|height_inches|lb|threshold
LB,prestige_lift,"[LB] Insight: LB recruits who had flag_all_american_bowl saw an average elite rate (>=80) of 6.7%, which is 356.6% higher than the position average.",elite|flag_all_american_bowl|ge_80|has_flag|lb|prestige_lift|threshold
LB,prestige_lift,"[LB] Insight: LB recruits who had flag_all_american_bowl saw an average multi-year starter rate (>=50) of 73.3%, which is 53.8% higher than the position average.",flag_all_american_bowl|ge_50|has_flag|lb|multi-year_starter|prestige_lift|threshold
LB,prestige_lift,"[LB] Insight: LB recruits who had flag_all_american_bowl saw an average career success score of 56.53, which is 41.6% higher than the position average.",flag_all_american_bowl|has_flag|lb|prestige_lift
LB,prestige_lift,"[LB] Insight: LB recruits who had flag_all_american_bowl saw an average contributor rate (>=20) of 93.3%, which is 25.7% higher than the position average.",contributor|flag_all_american_bowl|ge_20|has_flag|lb|prestige_lift|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Pursuit ratings of 9 or 10 saw an average elite rate (>=80) of 9.7%, which is 562.8% higher than the position average.",elite|ge_80|lb|rating_9_or_10|skill_influence|skill_pursuit|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Striking Ability ratings of 9 or 10 saw an average elite rate (>=80) of 2.8%, which is 93.4% higher than the position average.",elite|ge_80|lb|rating_9_or_10|skill_influence|skill_striking_ability|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Pursuit ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 77.4%, which is 62.4% higher than the position average.",ge_50|lb|multi-year_starter|rating_9_or_10|skill_influence|skill_pursuit|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Pursuit ratings of 9 or 10 saw an average career success score of 63.02, which is 57.8% higher than the position average.",lb|rating_9_or_10|skill_influence|skill_pursuit
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Striking Ability ratings of 9 or 10 saw an average multi-year starter rate (>=50) of 64.7%, which is 35.7% higher than the position average.",ge_50|lb|multi-year_starter|rating_9_or_10|skill_influence|skill_striking_ability|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Pursuit ratings of 9 or 10 saw an average contributor rate (>=20) of 96.8%, which is 30.3% higher than the position average.",contributor|ge_20|lb|rating_9_or_10|skill_influence|skill_pursuit|threshold
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Striking Ability ratings of 9 or 10 saw an average career success score of 49.56, which is 24.1% higher than the position average.",lb|rating_9_or_10|skill_influence|skill_striking_ability
LB,skill_influence,"[LB] Insight: LB recruits who had skill_Striking Ability ratings of 9 or 10 saw an average contributor rate (>=20) of 86.1%, which is 16.0% higher than the position average.",contributor|ge_20|lb|rating_9_or_10|skill_influence|skill_striking_ability|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 5-star prospects saw an average elite rate (>=80) of 9.4%, which is 542.1% higher than the position average.",5-star|elite|ge_80|lb|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 4-star prospects saw an average elite rate (>=80) of 3.1%, which is 111.8% higher than the position average.",4-star|elite|ge_80|lb|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 5-star prospects saw an average multi-year starter rate (>=50) of 84.4%, which is 76.9% higher than the position average.",5-star|ge_50|lb|multi-year_starter|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 5-star prospects saw an average career success score of 63.83, which is 59.8% higher than the position average.",5-star|lb|star_threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 4-star prospects saw an average multi-year starter rate (>=50) of 67.3%, which is 41.1% higher than the position average.",4-star|ge_50|lb|multi-year_starter|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 4-star prospects saw an average career success score of 52.33, which is 31.0% higher than the position average.",4-star|lb|star_threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 5-star prospects saw an average contributor rate (>=20) of 96.9%, which is 30.5% higher than the position average.",5-star|contributor|ge_20|lb|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 4-star prospects saw an average contributor rate (>=20) of 90.2%, which is 21.5% higher than the position average.",4-star|contributor|ge_20|lb|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 2-star prospects saw an average career success score of 33.44, which is 16.3% lower than the position average.",2-star|lb|star_threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 2-star prospects saw an average multi-year starter rate (>=50) of 39.2%, which is 17.8% lower than the position average.",2-star|ge_50|lb|multi-year_starter|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 3-star prospects saw an average elite rate (>=80) of 1.2%, which is 18.5% lower than the position average.",3-star|elite|ge_80|lb|star_threshold|threshold
LB,star_threshold,"[LB] Insight: LB recruits who were 2-star prospects saw an average elite rate (>=80) of 0.3%, which is 82.0% lower than the position average.",2-star|elite|ge_80|lb|star_threshold|threshold
LB,state_analysis,"[LB] Insight: LB recruits who were from OH saw an average elite rate (>=80) of 5.1%, which is 248.2% higher than the position average.",elite|ge_80|lb|oh|state|state_analysis|threshold
LB,state_analysis,"[LB] Insight: LB recruits who were from LA saw an average elite rate (>=80) of 2.6%, which is 80.2% higher than the position average.",elite|ge_80|la|lb|state|state_analysis|threshold
