rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,comp,rushing_attempts,pct,rushing_touchdowns,int,rate,games_played,year,category
18,Ace,Whitehead,Ace Whitehead,/tx/lampasas/lampasas-badgers/athletes/ace-whitehead/football/stats/?careerid=tfvmi48euigbb,tfvmi48euigbb,"QB, K",Lampasas,TX,4259,4259,283.9,260,373,0.697,54,6,141,15,2019,rushing
19,Tyler,Macon,Tyler Macon,/il/east-st-louis/east-st-louis-flyers/athletes/tyler-macon/football/stats/?careerid=rul0pt7fjenee,rul0pt7fjenee,QB,East St. Louis,IL,4245,4245,303.2,216,304,0.711,3,7,107,14,2019,rushing
20,Dj,Uiagalelei,Dj Uiagalelei,/ca/bellflower/st-john-bosco-braves/athletes/dj-uiagalelei/football/stats/?careerid=5g4okb30d5477,5g4okb30d5477,QB,St. John Bosco,CA,4225,4225,301.8,222,344,0.645,48,2,144,14,2019,rushing
21,Eli,Reece,Eli Reece,/ar/springdale/shiloh-christian-saints/athletes/eli-reece/football/stats/?careerid=eio8upluhln55,eio8upluhln55,QB,Shiloh Christian,AR,4191,4191,279.4,292,412,0.709,43,9,129,15,2019,rushing
22,Dillon,Markiewicz,Dillon Markiewicz,/tx/mckinney/mckinney-north-bulldogs/athletes/dillon-markiewicz/football/stats/?careerid=gvet18o63fu22,gvet18o63fu22,"QB, QB",McKinney North,TX,4189,4189,349.1,225,314,0.717,45,5,147,12,2019,rushing
23,Andrew,Body,Andrew Body,/tx/corpus-christi/miller-buccaneers/athletes/andrew-body/football/stats/?careerid=ffkafv7vjf7dd,ffkafv7vjf7dd,QB,Miller,TX,4176,4176,321.2,248,380,0.653,47,2,140,13,2019,rushing
24,Drew,Hartz,Drew Hartz,/ky/owensboro/owensboro-catholic-aces/athletes/drew-hartz/football/stats/?careerid=jchl6q82chki2,jchl6q82chki2,QB,Owensboro Catholic,KY,4173,4173,347.8,246,348,0.707,57,5,145,12,2019,rushing
25,Sam,Huard,Sam Huard,/wa/burien/kennedy-catholic-lancers/athletes/sam-huard/football/stats/?careerid=tqba35q14lmcc,tqba35q14lmcc,QB,Kennedy Catholic,WA,4172,4172,347.7,269,426,0.631,56,11,124,12,2019,rushing
26,Aidan,Atkinson,Aidan Atkinson,/co/boulder/fairview-knights/athletes/aidan-atkinson/football/stats/?careerid=psd81dg6bppg0,psd81dg6bppg0,QB,Fairview,CO,4162,4162,378.4,282,416,0.678,52,12,128,11,2019,rushing
27,Braden,Carnes,Braden Carnes,/tn/greenback/greenback-cherokees/athletes/braden-carnes/football/stats/?careerid=jdbr5ov68a688,jdbr5ov68a688,QB,Greenback,TN,4116,4116,274.4,196,313,0.626,52,9,134,15,2019,rushing
28,Hunter,Helms,Hunter Helms,/sc/west-columbia/gray-collegiate-academy-war-eagles/athletes/hunter-helms/football/stats/?careerid=06mbh421ivro8,06mbh421ivro8,QB,Gray Collegiate Academy,SC,4108,4108,316.0,230,308,0.747,47,5,149,13,2019,rushing
29,Ty,Thompson,Ty Thompson,/az/gilbert/mesquite-wildcats/athletes/ty-thompson/football/stats/?careerid=ogfjm6tsmpdk4,ogfjm6tsmpdk4,QB,Mesquite,AZ,4074,4074,313.4,250,424,0.59,45,14,113,13,2019,rushing
30,Eduardo,Huerta,Eduardo Huerta,/tx/laredo/united-longhorns/athletes/eduardo-huerta/football/stats/?careerid=dmggebui7a4cc,dmggebui7a4cc,QB,United,TX,4049,4049,289.2,232,393,0.59,47,10,123,14,2019,rushing
31,Asher,Link,Asher Link,/ok/tulsa/metro-christian-patriots/athletes/asher-link/football/stats/?careerid=fr6m9f3097crb,fr6m9f3097crb,"QB, SS",Metro Christian,OK,4044,4044,269.6,229,342,0.67,52,8,137,15,2019,rushing
32,Adryan,Lara,Adryan Lara,/az/goodyear/desert-edge-scorpions/athletes/adryan-lara/football/stats/?careerid=bnotpug34pek4,bnotpug34pek4,QB,Desert Edge,AZ,4016,4016,286.9,231,359,0.643,41,14,124,14,2019,rushing
33,Quinn,Ewers,Quinn Ewers,/tx/southlake/southlake-carroll-dragons/athletes/quinn-ewers/football/stats/?careerid=qje5v78gdf4rb,qje5v78gdf4rb,QB,Southlake Carroll,TX,4003,4003,285.9,291,402,0.724,45,3,138,14,2019,rushing
34,Bryce,Dixon,Bryce Dixon,/ar/searcy/searcy-lions/athletes/bryce-dixon/football/stats/?careerid=s6vtig85pkodd,s6vtig85pkodd,WR,Searcy,AR,4001,4001,307.8,286,476,0.601,43,10,109,13,2019,rushing
35,Alfred,Bobadilla,Alfred Bobadilla,/ca/los-angeles/franklin-panthers/athletes/alfred-bobadilla/football/stats/?careerid=p8d2rksjeb700,p8d2rksjeb700,"QB, FS",Franklin,CA,3962,3962,283.0,227,350,0.649,39,6,133,14,2019,rushing
36,Kyle,Adams,Kyle Adams,/in/west-lafayette/west-lafayette-red-devils/athletes/kyle-adams/football/stats/?careerid=ttslae137idi2,ttslae137idi2,QB,West Lafayette,IN,3938,3938,328.2,294,407,0.722,55,10,132,12,2019,rushing
37,Sawyer,Robertson,Sawyer Robertson,/tx/lubbock/coronado-mustangs/athletes/sawyer-robertson/football/stats/?careerid=pjsir6qvqnl66,pjsir6qvqnl66,QB,Coronado,TX,3914,3914,326.2,257,405,0.635,44,8,123,12,2019,rushing
38,Roman,Fuller,Roman Fuller,/tx/decatur/decatur-eagles/athletes/roman-fuller/football/stats/?careerid=2fnkpa4l5g7ee,2fnkpa4l5g7ee,QB,Decatur,TX,3904,3904,300.3,244,356,0.685,41,7,135,13,2019,rushing
39,Brett,Leach,Brett Leach,/tx/andrews/andrews-mustangs/athletes/brett-leach/football/stats/?careerid=n1ibpl6plecff,n1ibpl6plecff,QB,Andrews,TX,3886,3886,298.9,292,471,0.62,45,8,113,13,2019,rushing
40,Caleb,Holstein,Caleb Holstein,/la/lafayette/st-thomas-more-cougars/athletes/caleb-holstein/football/stats/?careerid=sin31a5srsuh1,sin31a5srsuh1,QB,St. Thomas More,LA,3885,3885,298.8,259,397,0.652,43,10,123,13,2019,rushing
41,Jake,Bishop,Jake Bishop,/tx/aledo/aledo-bearcats/athletes/jake-bishop/football/stats/?careerid=halqe55ovqu44,halqe55ovqu44,QB,Aledo,TX,3881,3881,242.6,225,316,0.712,42,3,148,16,2019,rushing
42,Matthew,Williams,Matthew Williams,/ga/tyrone/sandy-creek-patriots/athletes/matthew-williams/football/stats/?careerid=5ve2smpaqitcc,5ve2smpaqitcc,QB,Sandy Creek,GA,3880,3880,277.1,214,335,0.639,40,9,132,14,2019,rushing
43,Grayson,James,Grayson James,/tx/plano/john-paul-ii-cardinals/athletes/grayson-james/football/stats/?careerid=7vk6liki6pp66,7vk6liki6pp66,QB,John Paul II,TX,3878,3878,298.3,291,458,0.635,42,7,115,13,2019,rushing
44,Cj,Stroud,Cj Stroud,/ca/rancho-cucamonga/rancho-cucamonga-cougars/athletes/cj-stroud/football/stats/?careerid=e42fajfbm0fsc,e42fajfbm0fsc,QB,Rancho Cucamonga,CA,3878,3878,298.3,265,402,0.659,47,9,127,13,2019,rushing
45,Caden,Sipe,Caden Sipe,/ar/searcy/harding-academy-wildcats/athletes/caden-sipe/football/stats/?careerid=7i1vu1pfvbs22,7i1vu1pfvbs22,QB,Harding Academy,AR,3868,3868,257.9,234,329,0.711,59,6,142,15,2019,rushing
46,Orion,Olivas,Orion Olivas,/tx/el-paso/eastlake-falcons/athletes/orion-olivas/football/stats/?careerid=vjensn36729ee,vjensn36729ee,QB,Eastlake,TX,3865,3865,351.4,288,469,0.614,35,15,99,11,2019,rushing
47,Hayden,Shinn,Hayden Shinn,/sc/hilton-head-island/hilton-head-christian-academy-eagles/athletes/hayden-shinn/football/stats/?careerid=1rrbrd9k5o6vf,1rrbrd9k5o6vf,"QB, OLB",Hilton Head Christian Academy,SC,3864,3864,297.2,224,365,0.614,52,13,122,13,2019,rushing
48,Chance,Mcdonald,Chance Mcdonald,/wa/steilacoom/steilacoom-sentinels/athletes/chance-mcdonald/football/stats/?careerid=gnifrt8pesbo8,gnifrt8pesbo8,QB,Steilacoom,WA,3812,3812,272.3,233,353,0.66,49,18,120,14,2019,rushing
49,Logan,White,Logan White,/in/rockville/parke-heritage-wolves/athletes/logan-white/football/stats/?careerid=fv62cogpij9p9,fv62cogpij9p9,"QB, P",Parke Heritage,IN,3802,3802,345.6,261,344,0.759,42,6,144,11,2019,rushing
50,Paxton,Delaurent,Paxton Delaurent,/mo/camdenton/camdenton-lakers/athletes/paxton-delaurent/football/stats/?careerid=93p2vghe04uee,93p2vghe04uee,"QB, P",Camdenton,MO,3781,3781,290.8,305,457,0.667,52,10,121,13,2019,rushing
51,Devin,Kargman,Devin Kargman,/nj/camden/eastside-tigers/athletes/devin-kargman/football/stats/?careerid=oj8rqpr4larue,oj8rqpr4larue,QB,Eastside,NJ,3757,3757,313.1,256,372,0.688,44,13,126,12,2019,rushing
52,Michael,Serrano,Michael Serrano,/tx/midland/midland-legacy-rebels/athletes/michael-serrano/football/stats/?careerid=prmekis8tpoj3,prmekis8tpoj3,QB,Midland Legacy,TX,3735,3735,287.3,214,329,0.65,48,6,136,13,2019,rushing
53,Kyle,Brown,Kyle Brown,/tx/cedar-park/vista-ridge-rangers/athletes/kyle-brown/football/stats/?careerid=sffufce52kerb,sffufce52kerb,QB,Vista Ridge,TX,3734,3734,339.5,295,407,0.725,41,4,130,11,2019,rushing
54,Ty,Keyes,Ty Keyes,/ms/taylorsville/taylorsville-tartars/athletes/ty-keyes/football/stats/?careerid=1nq0651m4vqcc,1nq0651m4vqcc,QB,Taylorsville,MS,3721,3721,232.6,213,309,0.689,41,7,140,16,2019,rushing
55,Jack,Prka,Jack Prka,/id/coeur-dalene/coeur-dalene-vikings/athletes/jack-prka/football/stats/?careerid=a6eilde7mi0cc,a6eilde7mi0cc,QB,Coeur d'Alene,ID,3716,3716,309.7,296,400,0.74,32,8,121,12,2019,rushing
56,Bo,Hogeboom,Bo Hogeboom,/tx/argyle/argyle-eagles/athletes/bo-hogeboom/football/stats/?careerid=87cd4l664c2vf,87cd4l664c2vf,QB,Argyle,TX,3701,3701,264.4,207,323,0.641,56,10,130,14,2019,rushing
57,Maddog,Madsen,Maddog Madsen,/ut/american-fork/american-fork-cavemen/athletes/maddog-madsen/football/stats/?careerid=ijjjkhqmpvq55,ijjjkhqmpvq55,QB,American Fork,UT,3693,3693,246.2,265,455,0.582,42,17,100,15,2019,rushing
58,Bryce,Steel,Bryce Steel,/tx/bryan/brazos-christian-eagles/athletes/bryce-steel/football/stats/?careerid=5765t0tj46edd,5765t0tj46edd,"QB, FS",Brazos Christian,TX,3685,3685,307.1,239,359,0.666,48,11,127,12,2019,rushing
59,Tucker,Bridwell,Tucker Bridwell,/tx/pampa/pampa-harvesters/athletes/tucker-bridwell/football/stats/?careerid=jt6oh8k94cq00,jt6oh8k94cq00,QB,Pampa,TX,3684,3684,307.0,249,417,0.597,34,10,106,12,2019,rushing
60,Tim,Davis,Tim Davis,/nc/winston-salem/winston-salem-preparatory-academy-phoenix/athletes/tim-davis/football/stats/?careerid=v4r2qh8bokon7,v4r2qh8bokon7,"QB, ATH",Winston-Salem Preparatory Academy,NC,3678,3678,282.9,202,292,0.692,42,11,136,13,2019,rushing
61,Cole,Hagen,Cole Hagen,/ut/draper/corner-canyon-chargers/athletes/cole-hagen/football/stats/?careerid=fd025egbpujbb,fd025egbpujbb,QB,Corner Canyon,UT,3676,3676,262.6,213,358,0.595,43,10,122,14,2019,rushing
62,Will,Omey,Will Omey,/ca/eureka/st-bernards-crusaders/athletes/will-omey/football/stats/?careerid=6jsjhps4fpbff,6jsjhps4fpbff,"QB, SS",St. Bernard's,CA,3664,3664,244.3,217,348,0.624,40,16,117,15,2019,rushing
63,Cooper,Mccollum,Cooper Mccollum,/tx/wimberley/wimberley-texans/athletes/cooper-mccollum/football/stats/?careerid=bffaa03r8a1sc,bffaa03r8a1sc,"QB, FS",Wimberley,TX,3657,3657,228.6,220,365,0.603,49,9,123,16,2019,rushing
64,Jaxon,Willis,Jaxon Willis,/tx/crane/crane-cranes/athletes/jaxon-willis/football/stats/?careerid=qssnnrqca9ii2,qssnnrqca9ii2,QB,Crane,TX,3651,3651,304.2,245,375,0.653,40,7,125,12,2019,rushing
65,Tyler,Vollintine,Tyler Vollintine,/il/rochester/rochester-rockets/athletes/tyler-vollintine/football/stats/?careerid=lv3svt5n92vrb,lv3svt5n92vrb,MLB,Rochester,IL,3638,3638,259.9,198,296,0.669,46,5,142,14,2019,rushing
66,Clay,Bruno,Clay Bruno,/il/rochester/rochester-rockets/athletes/clay-bruno/football/stats/?careerid=1fm3ergvii5ue,1fm3ergvii5ue,QB,Rochester,IL,3638,3638,259.9,198,296,0.669,46,5,142,14,2019,rushing
67,Ryan,Zanelli,Ryan Zanelli,/ca/orange/orange-lutheran-lancers/athletes/ryan-zanelli/football/stats/?careerid=s0d0nf8isc411,s0d0nf8isc411,,La Habra,CA,3632,3632,279.4,230,364,0.632,47,4,131,13,2019,rushing
68,W,Rogers,W Rogers,/ms/brandon/brandon-bulldogs/athletes/w-rogers/football/stats/?careerid=ndn8tdge9t611,ndn8tdge9t611,QB,Brandon,MS,3608,3608,257.7,247,371,0.666,38,3,129,14,2019,rushing
69,Hector,Nava jr,Hector Nava jr,/ca/porterville/porterville-panthers/athletes/hector-nava-jr/football/stats/?careerid=2dcla3o0kpug0,2dcla3o0kpug0,QB,Porterville,CA,3604,3604,300.3,170,303,0.561,31,11,117,12,2019,rushing
70,Isaiah,Bess,Isaiah Bess,/nc/shelby/shelby-golden-lions/athletes/isaiah-bess/football/stats/?careerid=5h69re9v4vnrb,5h69re9v4vnrb,QB,Shelby,NC,3590,3590,239.3,191,325,0.588,41,6,129,15,2019,rushing
71,Seth,Brown,Seth Brown,/al/huntsville/st-john-paul-ii-falcons/athletes/seth-brown/football/stats/?careerid=1nk8m5ulktlj3,1nk8m5ulktlj3,"QB, CB",St. John Paul II,AL,3588,3588,299.0,221,333,0.664,44,13,126,12,2019,rushing
72,Will,Plummer,Will Plummer,/az/gilbert/gilbert-tigers/athletes/will-plummer/football/stats/?careerid=mg2fjllc0l8j3,mg2fjllc0l8j3,"QB, TE",Gilbert,AZ,3584,3584,325.8,268,438,0.612,33,18,95,11,2019,rushing
73,Eric,Gibson,Eric Gibson,/va/norfolk/granby-comets/athletes/eric-gibson/football/stats/?careerid=ira58k5hi1a11,ira58k5hi1a11,QB,Maury,VA,3578,3578,238.5,225,301,0.748,40,4,148,15,2019,rushing
74,Finn,Collins,Finn Collins,/ca/fresno/san-joaquin-memorial-panthers/athletes/finn-collins/football/stats/?careerid=ucu96t54snj00,ucu96t54snj00,QB,San Joaquin Memorial,CA,3576,3576,255.4,198,318,0.623,39,6,133,14,2019,rushing
75,Gabriel,Herrera,Gabriel Herrera,/tx/el-paso/parkland-matadors/athletes/gabriel-herrera/football/stats/?careerid=ued4tikufd9rb,ued4tikufd9rb,QB,Parkland,TX,3562,3562,296.8,215,330,0.652,46,6,133,12,2019,rushing
76,Philip,Short,Philip Short,/ms/greenville/greenville-hornets/athletes/philip-short/football/stats/?careerid=evf7u6ia3dc00,evf7u6ia3dc00,QB,Madison-Ridgeland Academy,MS,3545,3545,253.2,206,355,0.58,31,4,116,14,2019,rushing
77,Clay,Houghtaling,Clay Houghtaling,/nm/artesia/artesia-bulldogs/athletes/clay-houghtaling/football/stats/?careerid=faf7ajcffaudd,faf7ajcffaudd,QB,Artesia,NM,3536,3536,294.7,231,332,0.696,46,6,136,12,2019,rushing
78,Aaron,Tobias,Aaron Tobias,/pa/spring-mills/penns-valley-area-rams/athletes/aaron-tobias/football/stats/?careerid=poh1f9etp3jcc,poh1f9etp3jcc,"QB, P",Penns Valley Area,PA,3534,3534,321.3,228,342,0.667,54,7,132,11,2019,rushing
79,Bryson,Barnes,Bryson Barnes,/ut/milford/milford-tigers/athletes/bryson-barnes/football/stats/?careerid=56mskj6fjh4o8,56mskj6fjh4o8,"QB, SS",Milford,UT,3533,3533,271.8,244,404,0.604,39,11,110,13,2019,rushing
80,Tyler,Olenchuk,Tyler Olenchuk,/sc/irmo/dutch-fork-silver-foxes/athletes/tyler-olenchuk/football/stats/?careerid=it7cnf5c6klk4,it7cnf5c6klk4,QB,Dutch Fork,SC,3513,3513,234.2,210,321,0.654,42,5,135,15,2019,rushing
81,Drake,Maye,Drake Maye,/nc/charlotte/myers-park-mustangs/athletes/drake-maye/football/stats/?careerid=pre6f77inet11,pre6f77inet11,QB,Myers Park,NC,3512,3512,270.2,210,290,0.724,50,2,150,13,2019,rushing
82,Marco,Siderman,Marco Siderman,/ca/westlake-village/westlake-warriors/athletes/marco-siderman/football/stats/?careerid=ieb7jcq0qha22,ieb7jcq0qha22,QB,Westlake,CA,3502,3502,318.4,227,372,0.61,27,13,102,11,2019,rushing
83,Otis,Elzy,Otis Elzy,/la/kentwood/kentwood-kangaroos/athletes/otis-elzy/football/stats/?careerid=mhpclec392hk4,mhpclec392hk4,"QB, CB",Kentwood,LA,3492,3492,268.6,203,309,0.657,25,9,119,13,2019,rushing
84,Mason,Williams,Mason Williams,/ok/bixby/bixby-spartans/athletes/mason-williams/football/stats/?careerid=d45nrvb6esm55,d45nrvb6esm55,"QB, SS",Bixby,OK,3491,3491,268.5,234,313,0.748,47,5,144,13,2019,rushing
85,Mason,Caperton,Mason Caperton,/nm/eunice/eunice-cardinals/athletes/mason-caperton/football/stats/?careerid=u27qp0baunirb,u27qp0baunirb,"QB, SS",Eunice,NM,3487,3487,290.6,186,279,0.667,51,6,140,12,2019,rushing
86,Mike,Gundy,Mike Gundy,/ok/stillwater/stillwater-pioneers/athletes/mike-gundy/football/stats/?careerid=nac8om8foin99,nac8om8foin99,QB,Stillwater,OK,3481,3481,267.8,224,300,0.747,47,3,148,13,2019,rushing
87,Dawson,Cox,Dawson Cox,/nc/west-jefferson/ashe-county-huskies/athletes/dawson-cox/football/stats/?careerid=jnb59i0jshh44,jnb59i0jshh44,QB,Ashe County,NC,3479,3479,289.9,255,433,0.589,36,16,97,12,2019,rushing
88,Chase,Ricke,Chase Ricke,/ok/tulsa/lincoln-christian-bulldogs/athletes/chase-ricke/football/stats/?careerid=p27tpuh6v9fk4,p27tpuh6v9fk4,QB,Lincoln Christian,OK,3478,3478,248.4,184,243,0.757,52,3,152,14,2019,rushing
89,Shedeur,Sanders,Shedeur Sanders,/fl/havana/gadsden-county-jaguars/athletes/shedeur-sanders/football/stats/?careerid=97ag3s2nismue,97ag3s2nismue,QB,Trinity Leadership,TX,3477,3477,248.4,244,331,0.737,47,4,142,14,2019,rushing
90,Gunner,Stockton,Gunner Stockton,/ga/tiger/rabun-county-wildcats/athletes/gunner-stockton/football/stats/?careerid=9qdnf6faeebg0,9qdnf6faeebg0,QB,Rabun County,GA,3473,3473,267.2,239,334,0.716,43,6,137,13,2019,rushing
91,Chase,Swartz,Chase Swartz,/nc/mount-airy/north-surry-greyhounds/athletes/chase-swartz/football/stats/?careerid=u7qp911k16m00,u7qp911k16m00,QB,North Surry,NC,3472,3472,315.6,189,313,0.604,32,8,122,11,2019,rushing
92,Tanner,Lorson,Tanner Lorson,/pa/jersey-shore/jersey-shore-bulldogs/athletes/tanner-lorson/football/stats/?careerid=p3echaecgmah1,p3echaecgmah1,"QB, S",Jersey Shore,PA,3452,3452,230.1,255,463,0.551,34,16,89,15,2019,rushing
93,Caden,Filer,Caden Filer,/wa/tacoma/lincoln-abes/athletes/caden-filer/football/stats/?careerid=5dbm36e69rtvf,5dbm36e69rtvf,QB,Lincoln,WA,3445,3445,265.0,271,380,0.713,39,10,123,13,2019,rushing
94,Payton,Stokes,Payton Stokes,/ca/saratoga/saratoga-falcons/athletes/payton-stokes/football/stats/?careerid=87aka80pn37dd,87aka80pn37dd,QB,Saratoga,CA,3442,3442,312.9,222,330,0.673,39,6,133,11,2019,rushing
95,Justin,Morales,Justin Morales,/tx/san-juan/pharr-san-juan-alamo-bears/athletes/justin-morales/football/stats/?careerid=o8p8e82igkosc,o8p8e82igkosc,QB,Pharr-San Juan-Alamo,TX,3427,3427,311.5,288,486,0.593,30,9,94,11,2019,rushing
96,Camren,Mendoza,Camren Mendoza,/mo/st-louis/tdw-academy-jaguars/athletes/camren-mendoza/football/stats/?careerid=j0iqqflal6mk4,j0iqqflal6mk4,"QB, DB",TDW Academy,MO,3427,3427,244.8,203,309,0.657,31,6,128,14,2019,rushing
97,R.j.,Martinez,R.j. Martinez,/tx/austin/round-rock-westwood-warriors/athletes/rj-martinez/football/stats/?careerid=hk283f84hgocc,hk283f84hgocc,QB,Round Rock Westwood,TX,3424,3424,342.4,297,440,0.675,29,5,108,10,2019,rushing
98,Gabe,Carroll,Gabe Carroll,/sc/york/york-cougars/athletes/gabe-carroll/football/stats/?careerid=o2h35ij12q4j3,o2h35ij12q4j3,"QB, WR",Clover,SC,3422,3422,263.2,202,297,0.68,49,6,138,13,2019,rushing
99,Dante,Maiuri,Dante Maiuri,/wa/pasco/tri-cities-prep-jaguars/athletes/dante-maiuri/football/stats/?careerid=3mj5u0cu9q466,3mj5u0cu9q466,QB,Tri-Cities Prep,WA,3419,3419,284.9,260,432,0.602,34,13,99,12,2019,rushing
100,Sam,Vidlak,Sam Vidlak,/or/grants-pass/hidden-valley-mustangs/athletes/sam-vidlak/football/stats/?careerid=rvr17tos5e6td,rvr17tos5e6td,QB,Hidden Valley,OR,3404,3404,261.8,207,278,0.745,44,3,150,13,2019,rushing
101,Chayden,Peery,Chayden Peery,/ca/chatsworth/sierra-canyon-trailblazers/athletes/chayden-peery/football/stats/?careerid=g201522nfee11,g201522nfee11,QB,Sierra Canyon,CA,3401,3401,212.6,236,393,0.601,18,1,102,16,2019,rushing
102,Kyron,Drones,Kyron Drones,/tx/pearland/shadow-creek-sharks/athletes/kyron-drones/football/stats/?careerid=s73i4ts3ef3rb,s73i4ts3ef3rb,QB,Shadow Creek,TX,3390,3390,211.9,199,345,0.577,46,10,119,16,2019,rushing
103,Vincent,Marquez,Vincent Marquez,/nm/bloomfield/bloomfield-bobcats/athletes/vincent-marquez/football/stats/?careerid=n6gsqu0p4d6rb,n6gsqu0p4d6rb,QB,Bloomfield,NM,3387,3387,282.2,187,333,0.562,44,17,110,12,2019,rushing
104,Drew,Nash,Drew Nash,/ca/torrance/south-spartans/athletes/drew-nash/football/stats/?careerid=9a8ujgq1t1700,9a8ujgq1t1700,QB,South,CA,3386,3386,211.6,244,370,0.659,40,6,124,16,2019,rushing
105,Julian,Uwadia,Julian Uwadia,/tx/houston/cypress-creek-cougars/athletes/julian-uwadia/football/stats/?careerid=ctdmbf70527ee,ctdmbf70527ee,QB,Cypress Creek,TX,3383,3383,241.6,256,432,0.593,41,13,103,14,2019,rushing
106,Landin,Sledge,Landin Sledge,/nc/durham/riverside-durham-pirates/athletes/landin-sledge/football/stats/?careerid=it4dq585u0htd,it4dq585u0htd,QB,Riverside-Durham,NC,3382,3382,281.8,198,336,0.589,42,8,123,12,2019,rushing
