rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,comp,rushing_attempts,pct,rushing_touchdowns,int,rate,games_played,year,category
53,Christopher,Cooper,Christopher Cooper,/ca/redlands/citrus-valley-blackhawks/athletes/christopher-cooper/football/stats/?careerid=mfnagc8bfo4ue,mfnagc8bfo4ue,QB,Beaumont,CA,3610,3610,300.8,269,382,0.704,35,11,119,12,2021,rushing
54,Roland,Russo,Roland Russo,/ca/fresno/clovis-north-broncos/athletes/roland-russo/football/stats/?careerid=narh1e1du41m6,narh1e1du41m6,,Bullard,CA,3604,3604,257.4,249,337,0.739,38,9,135,14,2021,rushing
55,Levi,Wiederhold,Levi Wiederhold,/oh/fayetteville/fayetteville-perry-rockets/athletes/levi-wiederhold/football/stats/?careerid=idis55q7o3c22,idis55q7o3c22,"QB, FS",Fayetteville-Perry,OH,3601,3601,327.4,263,386,0.681,42,14,119,11,2021,rushing
56,Braedyn,Locke,Braedyn Locke,/tx/rockwall/rockwall-yellowjackets/athletes/braedyn-locke/football/stats/?careerid=7tag02ud7uh99,7tag02ud7uh99,QB,Rockwall,TX,3600,3600,300.0,215,341,0.63,36,11,120,12,2021,rushing
57,Sharmon,Rester,Sharmon Rester,/ar/el-dorado/el-dorado-wildcats/athletes/sharmon-rester/football/stats/?careerid=gbidqv8b8t800,gbidqv8b8t800,QB,El Dorado,AR,3537,3537,272.1,179,290,0.617,41,8,132,13,2021,rushing
58,Davin,Wydner,Davin Wydner,/fl/cocoa/cocoa-tigers/athletes/davin-wydner/football/stats/?careerid=kgrqvp120ci22,kgrqvp120ci22,QB,Cocoa,FL,3529,3529,271.5,223,320,0.697,22,8,119,13,2021,rushing
59,Bo,Kelly,Bo Kelly,/ca/dana-point/dana-hills-dolphins/athletes/bo-kelly/football/stats/?careerid=f59cnsnom33p9,f59cnsnom33p9,QB,Dana Hills,CA,3502,3502,318.4,177,289,0.612,39,7,133,11,2021,rushing
60,Folger,Boaz,Folger Boaz,/nc/pilot-mountain/east-surry-cardinals/athletes/folger-boaz/football/stats/?careerid=v7th5udojf811,v7th5udojf811,QB,East Surry,NC,3475,3475,248.2,227,324,0.701,29,7,126,14,2021,rushing
61,Landry,Lyddy,Landry Lyddy,/la/shreveport/calvary-baptist-academy-cavaliers/athletes/landry-lyddy/football/stats/?careerid=amdbobu8gg5qa,amdbobu8gg5qa,QB,Calvary Baptist Academy,LA,3464,3464,266.5,232,317,0.732,53,10,135,13,2021,rushing
62,Dylan,Bisson,Dylan Bisson,/nc/mt-holly/mountain-island-charter-raptors/athletes/dylan-bisson/football/stats/?careerid=bm3tes58rdfvf,bm3tes58rdfvf,QB,Mountain Island Charter,NC,3436,3436,343.6,137,195,0.703,30,6,139,10,2021,rushing
63,Keldric,Luster,Keldric Luster,/tx/frisco/liberty-redhawks/athletes/keldric-luster/football/stats/?careerid=avop55u39mgqa,avop55u39mgqa,QB,Liberty,TX,3435,3435,286.2,245,356,0.688,30,4,123,12,2021,rushing
64,Prometheus,"""qb1"" franklin ii","Prometheus ""qb1"" franklin ii",/sc/greenville/greenville-red-raiders/athletes/prometheus-qb1-franklin-ii/football/stats/?careerid=oj0fc04jqntk4,oj0fc04jqntk4,QB,Greenville,SC,3432,3432,264.0,208,315,0.66,36,8,130,13,2021,rushing
65,Dominic,Nankil,Dominic Nankil,/ca/chula-vista/mater-dei-catholic-crusaders/athletes/dominic-nankil/football/stats/?careerid=gikgqne3g4ej3,gikgqne3g4ej3,QB,Mater Dei Catholic,CA,3427,3427,263.6,188,306,0.614,38,4,134,13,2021,rushing
66,Noah,Walters,Noah Walters,/ne/lincoln/lincoln-east-spartans/athletes/noah-walters/football/stats/?careerid=6708mcogpd322,6708mcogpd322,"QB, FS",Lincoln East,NE,3402,3402,340.2,187,281,0.665,44,5,140,10,2021,rushing
67,Austin,Novosad,Austin Novosad,/tx/dripping-springs/dripping-springs-tigers/athletes/austin-novosad/football/stats/?careerid=84lv0tq8rj200,84lv0tq8rj200,QB,Dripping Springs,TX,3399,3399,309.0,208,327,0.636,40,9,127,11,2021,rushing
68,Dylan,Ramirez,Dylan Ramirez,/sc/spartanburg/broome-centurions/athletes/dylan-ramirez/football/stats/?careerid=qe44h3jbvi6bb,qe44h3jbvi6bb,"QB, FS",Broome,SC,3396,3396,308.7,230,365,0.63,28,13,104,11,2021,rushing
69,Ashton,Dubose,Ashton Dubose,/tx/san-antonio/brennan-bears/athletes/ashton-dubose/football/stats/?careerid=ek2fmitd0fhp9,ek2fmitd0fhp9,QB,Brennan,TX,3395,3395,261.2,190,294,0.646,51,1,142,13,2021,rushing
70,Dior,Bradfield,Dior Bradfield,/tx/pflugerville/hendrickson-hawks/athletes/dior-bradfield/football/stats/?careerid=48h3shel0gco8,48h3shel0gco8,"QB, WR",Weiss,TX,3386,3386,282.2,212,308,0.688,43,4,139,12,2021,rushing
71,Eli,Anderson,Eli Anderson,/ms/vicksburg/warren-central-vikings/athletes/eli-anderson/football/stats/?careerid=hj6afrib40g44,hj6afrib40g44,QB,Neshoba Central,MS,3383,3383,260.2,214,343,0.624,42,12,120,13,2021,rushing
72,Adam ,Damante,Adam  Damante,/az/gilbert/ala-gilbert-north-eagles/athletes/adam-damante/football/stats/?careerid=4l8ukqglfhbrb,4l8ukqglfhbrb,QB,ALA - Gilbert North,AZ,3382,3382,281.8,226,348,0.649,46,7,128,12,2021,rushing
73,Garrett,Bass-sulpizio,Garrett Bass-sulpizio,/ca/la-jolla/la-jolla-country-day-torreys/athletes/garrett-bass-sulpizio/football/stats/?careerid=0jcdrkmdt0gn7,0jcdrkmdt0gn7,QB,La Jolla Country Day,CA,3380,3380,281.7,250,432,0.579,38,8,105,12,2021,rushing
74,Holden,Geriner,Holden Geriner,/ga/savannah/benedictine-cadets/athletes/holden-geriner/football/stats/?careerid=i2pnke81l1ln7,i2pnke81l1ln7,"QB, FS",Benedictine,GA,3377,3377,225.1,233,343,0.679,36,3,131,15,2021,rushing
75,Aidan,Pratt,Aidan Pratt,/oh/van-wert/van-wert-cougars/athletes/aidan-pratt/football/stats/?careerid=q50dmb42km0dd,q50dmb42km0dd,QB,Van Wert,OH,3376,3376,241.1,274,379,0.723,34,5,124,14,2021,rushing
76,Jason,Thomason,Jason Thomason,/tx/caddo-mills/caddo-mills-foxes/athletes/jason-thomason/football/stats/?careerid=st073nl0h63ee,st073nl0h63ee,QB,Caddo Mills,TX,3370,3370,280.8,211,395,0.534,39,12,102,12,2021,rushing
77,Tyler,Hughes,Tyler Hughes,/ga/marietta/marietta-blue-devils/athletes/tyler-hughes/football/stats/?careerid=e4gnp0bvqai00,e4gnp0bvqai00,QB,Marietta,GA,3368,3368,280.7,223,350,0.637,42,9,124,12,2021,rushing
78,Gavin,Gosnell,Gavin Gosnell,/nc/hendersonville/hendersonville-bearcats/athletes/gavin-gosnell/football/stats/?careerid=cc90prg918maa,cc90prg918maa,QB,Hendersonville,NC,3367,3367,280.6,187,293,0.638,30,5,130,12,2021,rushing
79,Owen,Mccown,Owen Mccown,/nc/charlotte/myers-park-mustangs/athletes/owen-mccown/football/stats/?careerid=a3v3162pubfn7,a3v3162pubfn7,QB,Rusk,TX,3362,3362,280.2,262,388,0.675,36,4,121,12,2021,rushing
80,Lincoln,Kienholz,Lincoln Kienholz,/sd/pierre/pierre-tf-riggs-governors/athletes/lincoln-kienholz/football/stats/?careerid=elhik564gktj3,elhik564gktj3,"QB, WR",Pierre T.F. Riggs,SD,3359,3359,279.9,181,329,0.55,37,6,120,12,2021,rushing
81,Khalib,Johnson,Khalib Johnson,/al/pinson/clay-chalkville-cougars/athletes/khalib-johnson/football/stats/?careerid=dgd5cl0ecnrl5,dgd5cl0ecnrl5,QB,Clay-Chalkville,AL,3357,3357,223.8,182,275,0.662,40,7,137,15,2021,rushing
82,Dieter,Barr,Dieter Barr,/ca/orange/orange-panthers/athletes/dieter-barr/football/stats/?careerid=cr9m8gr5vnqtd,cr9m8gr5vnqtd,QB,St. Pius X-St. Matthias Academy,CA,3353,3353,239.5,207,336,0.616,55,6,127,14,2021,rushing
83,Dylan,Lonergan,Dylan Lonergan,/ga/snellville/brookwood-broncos/athletes/dylan-lonergan/football/stats/?careerid=bp3oreu4bctee,bp3oreu4bctee,QB,Brookwood,GA,3350,3350,257.7,232,370,0.627,31,3,117,13,2021,rushing
84,Dylan,Raiola,Dylan Raiola,/tx/burleson/burleson-elks/athletes/dylan-raiola/football/stats/?careerid=l575q7geuv233,l575q7geuv233,QB,Burleson,TX,3341,3341,278.4,228,350,0.651,32,5,121,12,2021,rushing
85,Lawson,Nairn,Lawson Nairn,/tx/millsap/millsap-bulldogs/athletes/lawson-nairn/football/stats/?careerid=lrlevo570f2ff,lrlevo570f2ff,"QB, FS",Millsap,TX,3337,3337,278.1,187,308,0.607,30,12,114,12,2021,rushing
86,Trey,Kukuk,Trey Kukuk,/ca/mission-viejo/capistrano-valley-cougars/athletes/trey-kukuk/football/stats/?careerid=v5d54qbmnmpbb,v5d54qbmnmpbb,"QB, OLB",Capistrano Valley,CA,3327,3327,302.5,214,375,0.571,33,10,105,11,2021,rushing
87,Matt,Macleod,Matt Macleod,/ca/atherton/menlo-atherton-bears/athletes/matt-macleod/football/stats/?careerid=dphhljtilltcc,dphhljtilltcc,QB,Menlo-Atherton,CA,3326,3326,277.2,176,258,0.682,36,6,141,12,2021,rushing
88,Nolan,Buckman,Nolan Buckman,/in/indianapolis/brebeuf-jesuit-preparatory-braves/athletes/nolan-buckman/football/stats/?careerid=5knn8ovt4k7p9,5knn8ovt4k7p9,QB,Brebeuf Jesuit Preparatory,IN,3311,3311,220.7,224,397,0.564,41,15,103,15,2021,rushing
89,Ennio,Yapoor,Ennio Yapoor,/fl/hialeah/champagnat-catholic-lions/athletes/ennio-yapoor/football/stats/?careerid=oefqooav8uo55,oefqooav8uo55,QB,Champagnat Catholic,FL,3300,3300,253.8,230,335,0.687,26,4,121,13,2021,rushing
90,Gabe,Rogers,Gabe Rogers,/sc/duncan/james-f-byrnes-rebels/athletes/gabe-rogers/football/stats/?careerid=eblt1snfrpgdd,eblt1snfrpgdd,,James F. Byrnes,SC,3300,3300,300.0,192,314,0.611,34,3,129,11,2021,rushing
91,Sergio,Beltran,Sergio Beltran,/ca/atherton/menlo-school-knights/athletes/sergio-beltran/football/stats/?careerid=epcr4gj1bsa99,epcr4gj1bsa99,QB,Menlo School,CA,3297,3297,274.8,221,295,0.749,51,7,141,12,2021,rushing
92,Austin,Myers,Austin Myers,/ar/vilonia/vilonia-eagles/athletes/austin-myers/football/stats/?careerid=8r7jqp249uej3,8r7jqp249uej3,QB,Vilonia,AR,3291,3291,299.2,232,332,0.699,45,5,135,11,2021,rushing
93,Alan,Karrfalt,Alan Karrfalt,/in/covington/covington-trojans/athletes/alan-karrfalt/football/stats/?careerid=anglj6936udtd,anglj6936udtd,"QB, DB",Covington,IN,3289,3289,299.0,257,411,0.625,38,10,108,11,2021,rushing
94,Avery,Smith,Avery Smith,/ga/sandy-springs/riverwood-raiders/athletes/avery-smith/football/stats/?careerid=opce27elh9477,opce27elh9477,QB,Riverwood,GA,3289,3289,299.0,197,307,0.642,35,6,130,11,2021,rushing
95,Kenny,Minchey,Kenny Minchey,/tn/hendersonville/pope-john-paul-ii-knights/athletes/kenny-minchey/football/stats/?careerid=d0mclm9eqrlp9,d0mclm9eqrlp9,QB,Pope John Paul II,TN,3280,3280,252.3,215,351,0.613,32,9,112,13,2021,rushing
96,Bryce,Schondelmyer,Bryce Schondelmyer,/oh/arcanum/arcanum-trojans/athletes/bryce-schondelmyer/football/stats/?careerid=gluovsh912133,gluovsh912133,"QB, OLB",Arcanum,OH,3278,3278,298.0,228,386,0.591,45,4,121,11,2021,rushing
97,Clark,Barrett,Clark Barrett,/in/lafayette/lafayette-central-catholic-knights/athletes/clark-barrett/football/stats/?careerid=p6r8j3m55l6i2,p6r8j3m55l6i2,QB,Lafayette Central Catholic,IN,3272,3272,251.7,214,361,0.593,36,11,110,13,2021,rushing
98,Josh,Hoover,Josh Hoover,/tx/rockwall/rockwall-heath-hawks/athletes/josh-hoover/football/stats/?careerid=tb00obfae1hdd,tb00obfae1hdd,QB,Rockwall-Heath,TX,3268,3268,251.4,191,302,0.632,40,10,126,13,2021,rushing
99,Collin,Hurst,Collin Hurst,/fl/davie/western-wildcats/athletes/collin-hurst/football/stats/?careerid=ruf41nlcb2crb,ruf41nlcb2crb,QB,Western,FL,3267,3267,272.2,223,317,0.703,35,2,138,12,2021,rushing
100,Alex,Erby,Alex Erby,/pa/steelton/steelton-highspire-steamrollers/athletes/alex-erby/football/stats/?careerid=nspdk1o5n0ltd,nspdk1o5n0ltd,QB,Steelton-Highspire,PA,3265,3265,296.8,160,192,0.833,42,0,163,11,2021,rushing
101,Eli,Holstein,Eli Holstein,/la/zachary/zachary-broncos/athletes/eli-holstein/football/stats/?careerid=956v7rmqgh2g0,956v7rmqgh2g0,QB,Zachary,LA,3264,3264,217.6,203,312,0.651,29,6,123,15,2021,rushing
102,Clayton,Garlock,Clayton Garlock,/tx/conroe/conroe-tigers/athletes/clayton-garlock/football/stats/?careerid=ksen33n9glqsc,ksen33n9glqsc,QB,Conroe,TX,3263,3263,296.6,198,333,0.595,26,9,107,11,2021,rushing
103,Tre,Dimes,Tre Dimes,/ca/fairfield/vanden-vikings/athletes/tre-dimes/football/stats/?careerid=fepi3ig0qo577,fepi3ig0qo577,QB,Vanden,CA,3262,3262,217.5,164,291,0.564,46,11,120,15,2021,rushing
104,Will,Taylor,Will Taylor,/nc/greenville/jh-rose-rampants/athletes/will-taylor/football/stats/?careerid=pe5g699ahhok4,pe5g699ahhok4,QB,J.H. Rose,NC,3261,3261,203.8,207,359,0.577,34,14,103,16,2021,rushing
105,Noah,Rodriguez,Noah Rodriguez,/ca/monrovia/monrovia-wildcats/athletes/noah-rodriguez/football/stats/?careerid=4rqj9qeqmesn7,4rqj9qeqmesn7,QB,Monrovia,CA,3258,3258,296.2,157,244,0.643,39,4,141,11,2021,rushing
